date,title,description,best_result_raw,best_result_display,score_type,barbell_lift,set_details,notes,rx_or_scaled,pr
10/06/2021,"Rows","a. Pendlay Rows5x3 (heavy)b. Banded Face Pulls3x10",0,"215","Other / Text","","[{""other"":""215""}]","",RX,
10/06/2021,"Warmup","2 Rds15 Cal Ski10 Inchworms (no pushups)10 DB Reverse Flies (Sit on Bench, check on thighs)2 Rds10 sec top of dip hold + 10 sec bottom dip hold3-5 skin the cats8 external rotations of knee/arm",1,"Yes","Checkbox","","[{""boolean"":1}]","",RX,
10/08/2021,"Speed Pause Back Squat","5 Sets:3 Speed Pause BS (+5# from last week)10sec Rest4 Depth Jumps2:00 Rest",135,"135","Load","","[{""success"":true,""load"":135}]","",RX,
10/08/2021,"Hang Power Snatch","Every 1:30 x 5 Sets3 Reps (75%)*reset at hips; speed!",150,"150","Load","","[{""success"":true,""load"":150}]","",RX,
10/08/2021,"Hang Power Clean","Every 1:30 x 5 Sets3 Reps (75%)*reset at hips; speed!",205,"205","Load","","[{""success"":true,""load"":205}]","",RX,
10/11/2021,"Tempo Front Squat","4 x 5*Add 5-10# to your sets from Week of Sep. 27**Same 3 second negative to each repFor example: Week 2 you did 225-235-245-245If you add 10# to each set, you will be doing 235-245-255-255",190,"190","Load","","[{""success"":true,""load"":190},{""success"":true,""load"":190},{""success"":true,""load"":190},{""success"":true,""load"":190}]","",RX,
10/11/2021,"Clean Shrug Pull","5 x 290-95-100-110-110% of 1RM Clean",290,"290","Load","","[{""success"":true,""load"":238},{""success"":true,""load"":245},{""success"":true,""load"":265},{""success"":true,""load"":290},{""success"":true,""load"":290}]","",RX,
10/12/2021,"3 Position Snatch","Every 2:00 x 5 Sets:Hang + Low Hang (mid shin) + Floor70-75%*drop bar after low hang and reset for the full snatch from floor",140,"140","Load","","[{""success"":true,""load"":140},{""success"":true,""load"":140},{""success"":true,""load"":140},{""success"":true,""load"":140},{""success"":true,""load"":140}]","",RX,
10/12/2021,"DL/PU/BJ","20:00 AMRAP5 Deadlifts (225/155)10 Pushups15 Box Jumps (24/20""-step down)*Hold yourself to a high standard on the pushups. Double overhand grip today on the deadlifts.",16,"16","Rounds + Reps","","[{""rnds"":16,""reps"":0}]","Sub 10 cal row for box jumps",SCALED,
10/12/2021,"C&J Complex","Every 2:00 x 5 Sets:1 Clean from Below Knee (mid shin) + 1 Clean + 1 Jerk70-75% of 1RM Clean*drop bar and reset after the first clean",185,"185","Load","","[{""success"":true,""load"":185},{""success"":true,""load"":185},{""success"":true,""load"":185},{""success"":true,""load"":185},{""success"":true,""load"":185}]","Power for knee",SCALED,
10/15/2021,"Hang Power Clean","Every 1:30 x 5 Sets3 Reps (75%)*reset at hips; speed!",205,"205","Load","","[{""success"":true,""load"":205}]","Lightweight baby",RX,
10/15/2021,"Speed Pause Back Squat","5 Sets:3 Speed Pause Back Squat (+5# from last week)10sec Rest4 Depth Jumps2:00 Rest",140,"140","Load","","[{""success"":true,""load"":140},{""success"":true,""load"":140},{""success"":true,""load"":140},{""success"":true,""load"":140},{""success"":true,""load"":140}]","",RX,
10/15/2021,"Hang Power Snatch","Every 1:30 x 5 Sets3 Reps (75%)*reset at hips; speed!",150,"150","Load","","[{""success"":true,""load"":150}]","",RX,
10/18/2021,"1&1/4 Tempo Front Squat","4 x 4*Add 5-10# to each set from wk 3 (wk of 10/04)**3 second negative every rep. Be strict about this!",165,"165","Load","","[{""success"":true,""load"":165},{""success"":true,""load"":165},{""success"":true,""load"":165},{""success"":true,""load"":165}]","WERE JUST GONNA AMPUTATE THE KNEE",RX,
10/18/2021,"Clean Deadlift","5 x 2(100-105-110-110-110% of 1RM Clean)*stop and reset between reps",305,"305","Reps","","[{""reps"":305},{""reps"":305}]","",RX,
10/19/2021,"C&J Complex","Every 2:00 x 5 Sets:1 Hang Clean + 1 Clean + 1 Jerk72.5-77.5% of 1RM Clean*drop bar and reset after the first clean",185,"185","Load","","[{""success"":true,""load"":185},{""success"":true,""load"":185},{""success"":true,""load"":185},{""success"":true,""load"":185},{""success"":true,""load"":185}]","",RX,
10/19/2021,"3 Position Snatch","Every 2:00 x 5 Sets:1 Hang Snatch + 1 Low Hang Snatch (mid shin) + 1 Floor75-80%*drop and reset after low hang snatch",150,"150","Load","","[{""success"":true,""load"":150},{""success"":true,""load"":150},{""success"":true,""load"":150},{""success"":true,""load"":150},{""success"":true,""load"":150}]","",RX,
10/20/2021,"Bench Press","10-8-6-6(70-75-80-82.5%)*No Tempo",195,"195","Load","","[{""success"":true,""load"":185},{""success"":true,""load"":195},{""success"":false,""load"":205},{""success"":false,""load"":205}]","",RX,
10/20/2021,"Pulling Strength","a. Single Arm DB Row 3 x5 HEAVYb. 100 Band Pull Aparts",70,"70","Load","","[{""success"":true,""load"":70},{""success"":true,""load"":70},{""success"":true,""load"":70}]","",RX,
